Date,Sl._No.,Taluka_Name,Today_Positive,Total_Postive,Today_Discharge,Total_Discharge,Total_Active_Cases,Today_Deaths,Total_Deaths
01-05-2021,1,Gadag_Taluka,76,6175,61,5627,467,,81
01-05-2021,2,Mundargi,21,1528,12,1453,67,,8
01-05-2021,3,Naragunda,11,1075,17,1032,38,,5
01-05-2021,4,Ron,17,1887,15,1779,92,,16
01-05-2021,5,Shirahatti,20,1730,11,1651,61,,18
01-05-2021,6,Other_Dist,2,454,4,416,25,,13
01-05-2021,7,Gadag_Dist,147,12849,120,11958,750,,141
02-05-2021,1,Gadag_Taluka,112,6287,98,5725,481,,81
02-05-2021,2,Mundargi,23,1551,7,1460,83,,8
02-05-2021,3,Naragunda,7,1082,3,1035,42,,5
02-05-2021,4,Ron,19,1906,19,1798,92,,16
02-05-2021,5,Shirahatti,11,1741,5,1656,67,,18
02-05-2021,6,Other_Dist,4,458,3,419,26,,13
02-05-2021,7,Gadag_Dist,176,13025,135,12093,791,,141
03-05-2021,1,Gadag_Taluka,145,6432,78,5803,548,,81
03-05-2021,2,Mundargi,12,1563,18,1478,77,,8
03-05-2021,3,Naragunda,10,1092,5,1040,47,,5
03-05-2021,4,Ron,9,1915,25,1823,76,,16
03-05-2021,5,Shirahatti,7,1748,13,1669,61,,18
03-05-2021,6,Other_Dist,8,466,6,425,27,,14
03-05-2021,7,Gadag_Dist,191,13216,145,12238,836,,142
04-05-2021,1,Gadag_Taluka,139,6571,100,5903,585,,83
04-05-2021,2,Mundargi,15,1578,11,1489,81,,8
04-05-2021,3,Naragunda,3,1095,13,1053,37,,5
04-05-2021,4,Ron,23,1938,18,1841,81,,16
04-05-2021,5,Shirahatti,1,1749,13,1682,49,,18
04-05-2021,6,Other_Dist,10,476,5,430,32,,14
04-05-2021,7,Gadag_Dist,191,13407,160,12398,865,,144
05-05-2021,1,Gadag_Taluka,118,6689,58,5961,643,0,85
05-05-2021,2,Mundargi,16,1594,26,1515,71,0,8
05-05-2021,3,Naragunda,14,1109,7,1060,44,0,5
05-05-2021,4,Ron,33,1971,24,1865,90,0,16
05-05-2021,5,Shirahatti,2,1751,5,1687,45,0,19
05-05-2021,6,Other_Dist,6,482,3,433,35,0,14
05-05-2021,7,Gadag_Dist,189,13596,123,12521,928,0,147
06-05-2021,1,Gadag_Taluka,111,6800,96,6057,657,0,86
06-05-2021,2,Mundargi,19,1613,5,1520,85,0,8
06-05-2021,3,Naragunda,14,1123,4,1064,54,0,5
06-05-2021,4,Ron,22,1993,6,1871,104,0,18
06-05-2021,5,Shirahatti,20,1771,18,1705,47,0,19
06-05-2021,6,Other_Dist,5,487,1,434,39,0,14
06-05-2021,7,Gadag_Dist,191,13787,130,12651,986,0,150
07-05-2021,1,Gadag_Taluka,151,6951,92,6149,713,0,89
07-05-2021,2,Mundargi,19,1632,16,1536,88,0,8
07-05-2021,3,Naragunda,8,1131,10,1074,52,0,5
07-05-2021,4,Ron,40,2033,17,1888,127,0,18
07-05-2021,5,Shirahatti,17,1788,14,1719,50,0,19
07-05-2021,6,Other_Dist,13,500,9,443,43,0,14
07-05-2021,7,Gadag_Dist,248,14035,158,12809,1073,0,153
08-05-2021,1,Gadag_Taluka,199,7150,141,6290,770,1,90
08-05-2021,2,Mundargi,46,1678,15,1551,119,0,8
08-05-2021,3,Naragunda,15,1146,8,1082,59,0,5
08-05-2021,4,Ron,28,2061,9,1897,146,0,18
08-05-2021,5,Shirahatti,32,1820,4,1723,78,0,19
08-05-2021,6,Other_Dist,21,521,3,446,60,1,15
08-05-2021,7,Gadag_Dist,341,14376,180,12989,1232,2,155
09-05-2021,1,Gadag_Taluka,178,7328,128,6418,817,3,93
09-05-2021,2,Mundargi,30,1708,17,1568,132,0,8
09-05-2021,3,Naragunda,37,1183,10,1092,86,0,5
09-05-2021,4,Ron,35,2096,25,1922,156,0,18
09-05-2021,5,Shirahatti,78,1898,17,1740,139,0,19
09-05-2021,6,Other_Dist,10,531,6,452,64,0,15
09-05-2021,7,Gadag_Dist,368,14744,203,13192,1394,3,158
10-05-2021,1,Gadag_Taluka,142,7470,134,6552,823,2,95
10-05-2021,2,Mundargi,58,1766,13,1581,177,0,8
10-05-2021,3,Naragunda,24,1207,18,1110,92,0,5
10-05-2021,4,Ron,111,2207,14,1936,253,0,18
10-05-2021,5,Shirahatti,32,1930,36,1776,135,0,19
10-05-2021,6,Other_Dist,16,547,10,462,70,0,15
10-05-2021,7,Gadag_Dist,383,15127,225,13417,1550,2,160
11-05-2021,1,Gadag_Taluka,237,7707,107,6659,951,2,97
11-05-2021,2,Mundargi,54,1820,16,1597,215,0,8
11-05-2021,3,Naragunda,25,1232,18,1128,99,0,5
11-05-2021,4,Ron,33,2240,55,1991,231,0,18
11-05-2021,5,Shirahatti,48,1978,9,1785,173,1,20
11-05-2021,6,Other_Dist,8,555,7,469,71,0,15
11-05-2021,7,Gadag_Dist,405,15532,212,13629,1740,3,163
12-05-2021,1,Gadag_Taluka,221,7928,169,6828,999,4,101
12-05-2021,2,Mundargi,71,1891,38,1635,248,0,8
12-05-2021,3,Naragunda,19,1251,12,1140,106,0,5
12-05-2021,4,Ron,89,2329,12,2003,308,0,18
12-05-2021,5,Shirahatti,44,2022,41,1826,176,0,20
12-05-2021,6,Other_Dist,10,565,8,477,73,0,15
12-05-2021,7,Gadag_Dist,454,15986,280,13909,1910,4,167
13-05-2021,1,Gadag_Taluka,128,8056,151,6979,974,2,103
13-05-2021,2,Mundargi,33,1924,32,1667,249,0,8
13-05-2021,3,Naragunda,50,1301,24,1164,132,0,5
13-05-2021,4,Ron,51,2380,51,2054,307,1,19
13-05-2021,5,Shirahatti,53,2075,26,1852,202,1,21
13-05-2021,6,Other_Dist,8,573,12,489,69,0,15
13-05-2021,7,Gadag_Dist,323,16309,296,14205,1933,4,171
14-05-2021,1,Gadag_Taluka,203,8339,124,7103,1130,3,106
14-05-2021,2,Mundargi,94,2038,37,1704,326,0,8
14-05-2021,3,Naragunda,26,1337,16,1180,152,0,5
14-05-2021,4,Ron,81,2481,85,2139,322,1,20
14-05-2021,5,Shirahatti,37,2126,24,1876,229,0,21
14-05-2021,6,Other_Dist,6,579,5,494,70,0,15
14-05-2021,7,Gadag_Dist,447,16900,291,14496,2229,4,175
15-05-2021,1,Gadag_Taluka,197,8536,142,7245,1183,2,108
15-05-2021,2,Mundargi,77,2115,44,1748,359,0,8
15-05-2021,3,Naragunda,21,1358,15,1195,158,0,5
15-05-2021,4,Ron,117,2598,35,2174,404,0,20
15-05-2021,5,Shirahatti,36,2162,32,1908,232,1,22
15-05-2021,6,Other_Dist,11,590,5,499,75,1,16
15-05-2021,7,Gadag_Dist,459,17359,273,14769,2411,4,179
16-05-2021,1,Gadag_Taluka,181,8717,143,7388,1220,1,109
16-05-2021,2,Mundargi,61,2176,40,1788,379,1,9
16-05-2021,3,Naragunda,20,1378,15,1210,163,0,5
16-05-2021,4,Ron,72,2670,52,2226,424,0,20
16-05-2021,5,Shirahatti,98,2260,42,1950,286,2,24
16-05-2021,6,Other_Dist,16,606,17,516,74,0,16
16-05-2021,7,Gadag_Dist,448,17807,309,15078,2546,4,183
17-05-2021,1,Gadag_Taluka,208,8925,160,7548,1265,3,112
17-05-2021,2,Mundargi,55,2231,53,1841,381,0,9
17-05-2021,3,Naragunda,19,1397,20,1230,162,0,5
17-05-2021,4,Ron,72,2742,44,2270,452,0,20
17-05-2021,5,Shirahatti,116,2376,25,1975,376,1,25
17-05-2021,6,Other_Dist,10,616,8,524,76,0,16
17-05-2021,7,Gadag_Dist,480,18287,310,15388,2712,4,187
18-05-2021,1,Gadag_Taluka,237,9162,106,7654,1395,1,113
18-05-2021,2,Mundargi,50,2281,36,1877,395,0,9
18-05-2021,3,Naragunda,50,1447,14,1244,198,0,5
18-05-2021,4,Ron,108,2850,47,2317,510,3,23
18-05-2021,5,Shirahatti,88,2464,33,2008,431,0,25
18-05-2021,6,Other_Dist,10,626,7,531,78,1,17
18-05-2021,7,Gadag_Dist,543,18830,243,15631,3007,5,192
19-05-2021,1,Gadag_Taluka,234,9396,150,7804,1479,0,113
19-05-2021,2,Mundargi,38,2319,65,1942,368,0,9
19-05-2021,3,Naragunda,18,1465,24,1268,192,0,5
19-05-2021,4,Ron,66,2916,36,2353,537,3,26
19-05-2021,5,Shirahatti,121,2585,46,2054,506,0,25
19-05-2021,6,Other_Dist,9,635,2,533,83,2,19
19-05-2021,7,Gadag_Dist,486,19316,323,15954,3165,5,197
20-05-2021,1,Gadag_Taluka,209,9605,146,7950,1540,2,115
20-05-2021,2,Mundargi,68,2387,37,1979,399,0,9
20-05-2021,3,Naragunda,89,1554,32,1300,249,0,5
20-05-2021,4,Ron,89,3005,80,2433,546,0,26
20-05-2021,5,Shirahatti,11,2596,30,2084,484,3,28
20-05-2021,6,Other_Dist,3,638,2,535,84,0,19
20-05-2021,7,Gadag_Dist,469,19785,327,16281,3302,5,202
21-05-2021,1,Gadag_Taluka,217,9822,180,8130,1577,0,115
21-05-2021,2,Mundargi,60,2447,70,2049,388,1,10
