Date,Sl._No.,Taluk_Name,Today_Positive,Total_Positive,Today_Discharge,Total_Discharge,Total_Active_Cases,Today_Deaths,Total_Deaths,Population
01-05-2021,7,Gadag Dist,0.14,12.07,0.11,11.23,0.7,0,0.13,1064570
02-05-2021,7,Gadag Dist,0.17,12.23,0.13,11.36,0.74,0,0.13,1064570
03-05-2021,7,Gadag Dist,0.18,12.41,0.14,11.5,0.79,0,0.13,1064570
04-05-2021,7,Gadag Dist,0.18,12.59,0.15,11.65,0.81,0,0.14,1064570
05-05-2021,7,Gadag Dist,0.18,12.77,0.12,11.76,0.87,0,0.14,1064570
06-05-2021,7,Gadag Dist,0.18,12.95,0.12,11.88,0.93,0,0.14,1064570
07-05-2021,7,Gadag Dist,0.23,13.18,0.15,12.03,1.01,0,0.14,1064570
08-05-2021,7,Gadag Dist,0.32,13.5,0.17,12.2,1.16,0.02,0.15,1064570
09-05-2021,7,Gadag Dist,0.35,13.85,0.19,12.39,1.31,0.03,0.15,1064570
10-05-2021,7,Gadag Dist,0.36,14.21,0.21,12.6,1.46,0.02,0.15,1064570
11-05-2021,7,Gadag Dist,0.38,14.59,0.2,12.8,1.63,0.03,0.15,1064570
12-05-2021,7,Gadag Dist,0.43,15.02,0.26,13.07,1.79,0.04,0.16,1064570
13-05-2021,7,Gadag Dist,0.3,15.32,0.28,13.34,1.82,0.04,0.16,1064570
14-05-2021,7,Gadag Dist,0.42,15.87,0.27,13.62,2.09,0.04,0.16,1064570
15-05-2021,7,Gadag Dist,0.43,16.31,0.26,13.87,2.26,0.04,0.17,1064570
16-05-2021,7,Gadag Dist,0.42,16.73,0.29,14.16,2.39,0.04,0.17,1064570
17-05-2021,7,Gadag Dist,0.45,17.18,0.29,14.45,2.55,0.04,0.18,1064570
18-05-2021,7,Gadag Dist,0.51,17.69,0.23,14.68,2.82,0.05,0.18,1064570
19-05-2021,7,Gadag Dist,0.46,18.14,0.3,14.99,2.97,0.05,0.19,1064570
20-05-2021,7,Gadag Dist,0.44,18.58,0.31,15.29,3.1,0.05,0.19,1064570
21-05-2021,7,Gadag Dist,0.5,19.08,0.38,15.67,3.22,0.05,0.19,1064570
22-05-2021,7,Gadag Dist,0.42,19.5,0.38,16.05,3.25,0.04,0.2,1064570
23-05-2021,7,Gadag Dist,0.35,19.85,0.4,16.45,3.2,0.04,0.2,1064570
24-05-2021,7,Gadag Dist,0.26,20.11,0.4,16.85,3.05,0.03,0.2,1064570
25-05-2021,7,Gadag Dist,0.24,20.35,0.42,17.27,2.87,0.04,0.21,1064570
26-05-2021,7,Gadag Dist,0.37,20.72,0.38,17.65,2.86,0.04,0.21,1064570
27-05-2021,7,Gadag Dist,0.35,21.07,0.38,18.03,2.82,0.05,0.22,1064570
28-05-2021,7,Gadag Dist,0.28,21.35,0.38,18.41,2.72,0.05,0.22,1064570
29-05-2021,7,Gadag Dist,0.29,21.64,0.38,18.79,2.63,0.05,0.23,1064570
30-05-2021,7,Gadag Dist,0.27,21.91,0.37,19.15,2.53,0.05,0.23,1064570
31-05-2021,7,Gadag Dist,0.23,22.14,0.37,19.53,2.38,0.04,0.23,1064570
01-06-2021,7,Gadag Dist,0.2,22.34,0.33,19.85,2.24,0.04,0.24,1064570
02-06-2021,7,Gadag Dist,0.27,22.61,0.33,20.18,2.18,0.04,0.24,1064570
03-06-2021,7,Gadag Dist,0.23,22.84,0.33,20.51,2.08,0.04,0.25,1064570
04-06-2021,7,Gadag Dist,0.18,23.02,0.31,20.82,1.96,0.03,0.25,1064570
05-06-2021,7,Gadag Dist,0.14,23.17,0.31,21.12,1.79,0.04,0.25,1064570
06-06-2021,7,Gadag Dist,0.12,23.29,0.3,21.42,1.61,0.04,0.26,1064570
07-06-2021,7,Gadag Dist,0.13,23.42,0.28,21.7,1.46,0.02,0.26,1064570
08-06-2021,7,Gadag Dist,0.07,23.5,0.27,21.97,1.26,0.02,0.26,1064570
09-06-2021,7,Gadag Dist,0.09,23.59,0.23,22.21,1.12,0.02,0.26,1064570
10-06-2021,7,Gadag Dist,0.08,23.67,0.21,22.41,0.99,0.03,0.26,1064570
11-06-2021,7,Gadag Dist,0.06,23.73,0.16,22.58,0.89,0.03,0.27,1064570
12-06-2021,7,Gadag Dist,0.06,23.79,0.12,22.7,0.82,0.02,0.27,1064570
13-06-2021,7,Gadag Dist,0.07,23.86,0.2,22.9,0.68,0.01,0.27,1064570
14-06-2021,7,Gadag Dist,0.03,23.88,0.11,23.01,0.6,0,0.27,1064570
15-06-2021,7,Gadag Dist,0.02,23.9,0.08,23.09,0.54,0,0.27,1064570
16-06-2021,7,Gadag Dist,0.05,23.95,0.06,23.15,0.53,0.02,0.27,1064570
17-06-2021,7,Gadag Dist,0.03,23.98,0.08,23.23,0.48,0,0.27,1064570
18-06-2021,7,Gadag Dist,0.02,24,0.08,23.31,0.42,0.01,0.27,1064570
19-06-2021,7,Gadag Dist,0.03,24.03,0.08,23.39,0.37,0.01,0.27,1064570
20-06-2021,7,Gadag Dist,0.03,24.06,0.06,23.45,0.33,0.01,0.28,1064570
21-06-2021,7,Gadag Dist,0.02,24.07,0.06,23.51,0.29,0.01,0.28,1064570
22-06-2021,7,Gadag Dist,0.02,24.09,0.05,23.56,0.26,0,0.28,1064570
23-06-2021,7,Gadag Dist,0.01,24.11,0.03,23.59,0.24,0,0.28,1064570
24-06-2021,7,Gadag Dist,0.02,24.12,0.03,23.61,0.23,0,0.28,1064570
25-06-2021,7,Gadag Dist,0.02,24.15,0.02,23.64,0.23,0,0.28,1064570
26-06-2021,7,Gadag Dist,0.03,24.17,0.03,23.67,0.23,0.02,0.28,1064570
27-06-2021,7,Gadag Dist,0.02,24.19,0.03,23.7,0.22,0.02,0.28,1064570
28-06-2021,7,Gadag Dist,0.02,24.21,0.02,23.72,0.21,0.02,0.28,1064570
29-06-2021,7,Gadag Dist,0.02,24.23,0.02,23.74,0.21,0.02,0.28,1064570
30-06-2021,7,Gadag Dist,0.02,24.25,0.02,23.75,0.21,0.02,0.29,1064570
01-07-2021,7,Gadag Dist,0.01,24.26,0.02,23.78,0.2,0.02,0.29,1064570
01-05-2021,1,Gadag_Taluka,0.21,16.81,0.17,15.32,1.27,0,0.22,367258
02-05-2021,1,Gadag_Taluka,0.3,17.12,0.27,15.59,1.31,0,0.22,367258
03-05-2021,1,Gadag_Taluka,0.39,17.51,0.21,15.8,1.49,0,0.22,367258
